ID,SMILES,ADMET_Solubility_Level,ADMET_Unknown_AlogP98,ADMET_BBB_Level,ADMET_EXT_CYP2D6#Prediction,ADMET_EXT_Hepatotoxic#Prediction,ADMET_Absorption_Level,ADMET_EXT_PPB#Prediction
sp26,Cc1cc(N)nc(-c2c(Cl)c3c4c(nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c2F)N2C[C@H]4CC[C@H](N4)[C@H]2[C@H](C)O3)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
sp27,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@@]45CCN(C)C4COC5)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
sp28,C[C@@H]1CC[C@@H]2[C@@H]3CC[C@H](CN2c2nc(OC[C@@]45CCCN4[C@H](CF)CC5)nc4c(F)c(nc1c24)-c1cccc2ccc(F)c(C#C)c12)N3,0,0,4,TRUE,TRUE,3,TRUE
sp29,Fc1ccc2cccc(-c3nc4CCC[C@@H]5[C@@H]6CC[C@H](CN5c5nc(OC[C@@]78CCCN7[C@H](COc7cnnc(c7)C(F)(F)F)CC8)nc(c3F)c45)N6)c2c1C#C,0,0,4,TRUE,TRUE,3,TRUE
sp30,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@@]45CCCN4CC4(CC4(F)F)C5)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)cc(C)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
sp31,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(F)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
sp32,C#Cc1c(F)ccc2cc(O)cc(-c3nc4c5c(nc(OC[C@@]67CCCN6CC(=C)C7)nc5c3F)N3CCCOCC3CC4)c12,0,0,4,TRUE,TRUE,3,TRUE
sp33,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
sp34,Oc1cc(-c2nc3CC[C@@H]4[C@@H]5CC[C@H](CN4c4nc(OCC6(CN7CCC[C@@H](F)C7)CC6)nc(c2F)c34)N5)c2c(C#C)c(F)ccc2c1,0,0,4,TRUE,TRUE,3,TRUE
sp35,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@@H]4CC[C@@H]5C[C@H](CCN45)C(=O)N(C)C)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,FALSE,FALSE,2,TRUE
sp36,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@]4(CN5CC6(COC6)C5)CC4(F)F)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,TRUE,FALSE,1,TRUE
sp37,C[C@@H]1Oc2nc(c(F)c3nc(OCC4(CN5CC(F)C5)CC4)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,TRUE,TRUE,2,TRUE
sp38,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@]45CCN4CC(F)(F)C5)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(O)cc2cccc(C#C)c12,0,0,4,TRUE,TRUE,2,TRUE
sp39,C#Cc1c(F)ccc2cc(O)cc(-c3nc4c5c(nc(OC[C@@]67CCCN6C[C@H](F)C7)nc5c3F)N3CCCOC[C@@H]3C=C4)c12,0,0,4,FALSE,TRUE,2,TRUE
sp40,CCc1cccc2cc(O)cc(-c3nc4O[C@@H](C)[C@@H]5[C@@H]6CC[C@H](CN5c5nc(OC[C@@]78CCCN7C[C@H](F)C8)nc(c3F)c45)N6)c12,0,0,4,TRUE,TRUE,2,TRUE
sp41,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@@]45CCCN4CC4(CC4(F)F)C5)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
sp42,Oc1cc(-c2nc3OC[C@@H]4[C@@H]5CC[C@H](CN4c4nc(OC[C@@]67CCCN6C[C@H](F)C7)nc(c2F)c34)N5)c2c(C#C)c(F)ccc2c1,0,0,4,TRUE,TRUE,2,TRUE
sp43,C[C@@H]1Oc2nc(c(F)c3nc(OCC45CCN4C[C@H](F)C5)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
sp44,C[C@@H]1Oc2nc(c(F)c3nc(OC[C@@H]4CC[C@H]5COCCN45)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
sp45,FC(F)c1nccc(OC[C@@H]2CC[C@]3(COc4nc5N6C[C@H]7CC[C@H](N7)[C@H]6CCCc6nc(c(F)c(n4)c56)-c4cccc5ccc(F)c(C#C)c45)CCCN23)n1,0,0,4,TRUE,TRUE,3,TRUE
sp46,C[C@@H]1Oc2nc(c(F)c3nc(OCC4(CN5CCOCC5)CC4)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
sp47,C[C@@H]1Oc2nc(c(F)c3nc(OCC4(CN5C[C@H]6C[C@@H]5CO6)CC4)nc(N4C[C@H]5CC[C@H](N5)[C@@H]14)c23)-c1cc(N)c(F)c(C)c1C(F)(F)F,0,0,4,TRUE,FALSE,2,TRUE
sp48,C#Cc1c(F)ccc2cc(O)cc(-c3nc4c5c(nc(OC[C@@]67CCCN6[C@H](COc6nccnc6C(F)C(C)F)CC7)nc5c3F)N3CCCOC[C@@H]3CC4)c12,1,0,4,TRUE,TRUE,3,TRUE
sp49,Oc1cc(Cl)c(c(c1)-c1ncc2c(nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F)N1CC2CCC(C1)N2)C(F)(F)F,0,0,4,TRUE,TRUE,1,TRUE
sp50,Oc1cc(-c2nc3CC[C@@H]4[C@@H]5CC[C@H](CN4c4nc(OC[C@@]67CCCN6C[C@H](F)C7)nc(c2F)c34)N5)c2c(C#C)c(F)ccc2c1,0,0,4,TRUE,TRUE,2,TRUE
sp51,Oc1cc(-c2cc3CC[C@@H]4[C@@H]5CC[C@H](CN4c4nc(OC[C@@]67CCCN6C[C@H](F)C7)nc(c2F)c34)N5)c2c(C#C)c(F)ccc2c1,0,0,4,TRUE,TRUE,3,TRUE
sp52,C[C@H]1Cc2nc(c(F)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4C[C@H]5CC[C@H](N5)[C@H]14)c23)-c1cc(O)cc2ccc(F)c(C#C)c12,0,0,4,TRUE,TRUE,3,TRUE
sp53,Oc1cc(-c2nc3CC[C@@H]4[C@@H]5CC[C@H](CN4c4nc(OCC6(CN7CCC(CC7)C(F)(F)F)CC6)nc(c2F)c34)N5)c2c(C#C)c(F)ccc2c1,0,0,4,TRUE,TRUE,3,TRUE
sp54,Oc1cc(-c2nc3CC[C@@H]4[C@@H]5CC[C@H](CN4c4nc(OCC6(CN7CC[C@H](C7)C(F)(F)F)CC6)nc(c2F)c34)N5)c2c(C#C)c(F)ccc2c1,0,0,4,TRUE,TRUE,3,TRUE
sp55,F[C@H]1CN2CCC[C@@]2(COc2nc3N4C[C@H]5CC[C@H](N5)[C@H]4CCCc4nc(c(F)c(n2)c34)-c2cccc3ccc(F)c(C#C)c23)C1,0,0,4,TRUE,TRUE,3,TRUE
sp56,Oc1cc(-c2nc3O[C@H](C(F)F)[C@@H]4[C@@H]5CC[C@H](CN4c4nc(OC[C@@]67CCCN6C[C@H](F)C7)nc(c2F)c34)N5)c2c(C#C)c(F)ccc2c1,0,0,4,TRUE,TRUE,3,TRUE
sp57,C[C@H]1C[C@@H]2[C@@H]3CC[C@H](CN2c2nc(OC[C@@]45CCCN4C[C@H](F)C5)nc4c(F)c(nc1c24)-c1cc(O)cc2ccc(F)c(C#C)c12)N3,0,0,4,TRUE,TRUE,3,TRUE
sp58,CC(OC[C@@H]1CC[C@]2(COc3nc4N5C[C@H]6CC[C@H](N6)[C@H]5CCc5nc(c(F)c(n3)c45)-c3cc(O)cc4ccc(F)c(C#C)c34)CCCN12)(C(F)(F)F)C(F)(F)F,0,0,4,FALSE,TRUE,3,TRUE
sp59,CC(OC[C@@H]1CC[C@]2(COc3nc4N5C[C@H]6CC[C@H](N6)[C@H]5CCCc5nc(c(F)c(n3)c45)-c3cccc4ccc(F)c(C#C)c34)CCCN12)(C(F)(F)F)C(F)(F)F,0,0,4,FALSE,TRUE,3,TRUE
sp60,Fc1ccc2cccc(-c3nc4CCC[C@@H]5[C@@H]6CC[C@H](CN5c5nc(OC[C@@]78CCCN7[C@H](COC(C7CC7)C(F)(F)F)CC8)nc(c3F)c45)N6)c2c1C#C,0,0,4,FALSE,TRUE,3,TRUE
sp61,Oc1cc(-c2nc3CC[C@H]4[C@@H]5CC[C@H](CN4c4nc(OC[C@@]67CCCN6C[C@H](F)C7)nc(c2F)c34)N5)c2c(C#C)c(F)ccc2c1,0,0,4,TRUE,TRUE,2,TRUE
sp62,Oc1cc(-c2nc3CC[C@@H]4[C@@H]5CC[C@H](CN4c4nc(OC[C@@]67CCCN6CC(C7)OC(F)(F)F)nc(c2F)c34)N5)c2c(C#C)c(F)ccc2c1,0,0,4,TRUE,TRUE,3,TRUE
