SMILES,ID
O=C(N[C@H](C(=O)Oc1ccc2c(c1)oc(c(c2=O)c1ccc2c(c1)OCCO2)C(F)(F)F)Cc1ccccc1)OCc1ccccc1,STOCK1N-06618
COC(=O)c1ccc(cc1)Oc1coc2c(c1=O)ccc(c2)OC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,STOCK1N-06722
CCCCCCCCCCCCCCCCCCNC(=O)[C@H]1O[C@H](OCc2ccccc2)[C@@H]([C@H]([C@@H]1OC(=O)C)O[C@@H](C(=O)O)C)NC(=O)C,STOCK1N-06923
O=C(CC[C@H](C(=O)Oc1ccc2c(c1)oc(c(c2=O)Oc1ccccc1)C)NC(=O)OCc1ccccc1)OCc1ccccc1,STOCK1N-07025
CCCCc1cc2c(cc1OC(=O)[C@@H](Cc1ccc(cc1)O)N)occ(c2=O)c1csc(n1)C.Cl.Cl,STOCK1N-07219
O=C(OC(C)(C)C)N[C@@H](C(=O)Oc1ccc2c(c1)oc(c(c2=O)Oc1ccccc1)C(F)(F)F)Cc1ccc(cc1)OC(=O)OC(C)(C)C,STOCK1N-07527
OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.CCc1cc2c(cc1O)oc(c(c2=O)c1scc(n1)C)[C@H]1CCCN1,STOCK1N-07837
COC(=O)c1ccc(cc1)Oc1c(C)oc2c(c1=O)ccc(c2)OC(=O)[C@H](Cc1ccc(cc1)OCc1ccccc1)NC(=O)OC(C)(C)C,STOCK1N-09135
COc1cc2C3=NCCc2cc1Oc1c2c(CCN([C@H]2Cc2ccc(c(c2)Oc2ccc(C3)cc2)O)C)cc(c1OC)OC,STOCK1N-09147
OC(=O)C(F)(F)F.O=C(Oc1ccc2c(c1)occ(c2=O)c1ccc(cc1)F)CCCCCNC(=O)[C@H](N)C,STOCK1N-09396
O=C(C(Cc1ccccc1)N)Oc1cc(O)c2c(c1)occ(c2=O)c1ccc(cc1)OC(=O)C(Cc1ccccc1)(N)C.Cl.Cl,STOCK1N-09449
OC(=O)C(=O)O.COc1cc(OC)ccc1CNC(C1COc2c(O1)cccc2)C.COc1cc(OC)ccc1CNC(C1COc2c(O1)cccc2)C,STOCK1N-09451
COc1ccc(cc1)C(c1ccc(cc1)OC)(c1ccccc1)OC[C@H]1O[C@H](C[C@@H]1O)n1cnc2c1ncnc2NC(=O)c1ccccc1,STOCK1N-09654
CSCC[C@H](C(=O)Oc1cc2oc([C@H](NC(=O)OC(C)(C)C)CCSC)c(c(=O)c2cc1CC)c1scc(n1)C)NC(=O)OC(C)(C)C,STOCK1N-09693
O=C(OC(C)(C)C)N[C@H](C(=O)Oc1ccc2c(c1)oc(c(c2=O)Oc1ccccc1)C)Cc1ccc(cc1)OCc1ccccc1,STOCK1N-09852
O=C(NC(C(=O)OCc1ccccc1)CCC(=O)OCc1ccccc1)CNC(=O)[C@@H](NC(=O)C(Cc1ccc(cc1)OC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)C,STOCK1N-10409
O=C(OC(C)(C)C)N[C@@H](C(=O)Oc1ccc2c(c1)oc(c(c2=O)c1ccc2c(c1)OCCO2)C(F)(F)F)Cc1c[nH]c2c1cccc2,STOCK1N-10487
OC[C@H]1O[C@H]([C@@H]([C@@H]1OC(=O)c1ccccc1)OC(=O)c1ccccc1)n1cnc2c1ncnc2N(C(=O)c1ccccc1)C(=O)c1ccccc1,STOCK1N-10659
OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.CCCc1cc2c(cc1OC(=O)CN)occ(c2=O)c1csc(n1)C,STOCK1N-10757
OC(=O)C(F)(F)F.CSCCC(C(=O)NC(C(=O)NC(C(=O)OCC1c2ccccc2c2c1cccc2)Cc1ccccc1)CC(C)C)N,STOCK1N-11015
O=C(N[C@@H](C(=O)Oc1ccc2c(c1)oc(c(c2=O)Oc1ccc(cc1)Cl)C)Cc1c[nH]c2c1cccc2)OCc1ccccc1,STOCK1N-11532
O=C(OC(C)(C)C)N[C@H](Cc1ccc(cc1)OC(=O)OC(C)(C)C)CN[C@@H](C(=O)Oc1ccc2c(c1)occ(c2=O)Oc1ccccc1F)C,STOCK1N-11819
CCc1cc2c(cc1O)oc(c(c2=O)c1scc(n1)C)[C@@H](Cc1ccc(cc1)OC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,STOCK1N-11935
CC(CCC(=O)C(C1/C(=N\Nc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])/CC2[C@]1(C)CCC1C2CC=C2[C@]1(C)CCC(C2)OC(=O)C)C)CNC(=O)C,STOCK1N-11953
O=C(OC(C)(C)C)N[C@@H](C(=O)Oc1ccc2c(c1)oc(c(c2=O)c1ccc2c(c1)OCCCO2)C)Cc1c[nH]c2c1cccc2,STOCK1N-11989
Cn1c(=O)c(Nc2c(=O)n(C)c3c4c2c2ccccc2c(=O)c4ccc3)c2c3c1cccc3c(=O)c1c2cccc1.CC(=O)O.CC(=O)O.CC(=O)O,STOCK1N-14238
COc1ccc(cc1CN1C[C@@H]2C[C@H](C1)c1n(C2)c(=O)ccc1)C(C1=C(O)CC(CC1=O)(C)C)C1=C(O)CC(CC1=O)(C)C,STOCK1N-14282
COc1c2c(CC[C@@H](c3c2ccc(c(=O)c3)NCCCCCCNc2ccc3c(cc2=O)[C@H](CCc2c3c(OC)c(c(c2)OC)OC)NC(=O)C)NC(=O)C)cc(c1OC)OC,STOCK1N-15173
