SMILES,ID
COC(=O)C[C@H]1[C@@]2(C)[C@@H](OC(=O)/C=C/c3ccccc3)C[C@H]([C@@]([C@@H]2[C@H]([C@@H]2[C@@]1(C)C1=C(C)[C@@H](C[C@H]1O2)c1ccoc1)OC(=O)C)(C)C=O)O,NPC475237
CCCCCCC(CCC[C@@H]([C@@H]1CC[C@H](O1)[C@@H]1CC[C@@H](O1)[C@@H](CCCCCCCCCCC1=C[C@@H](OC1=O)C)O)O)O,NPC473671
CC1=C2C(CC3(CCC(C(=C)C3C(C(C2(C)C)C(C1)OC(=O)C(C)C(C)O)OC(=O)C)OC(=O)C)C)OC(=O)C,NPC322505
COc1cccc2c1N1C[C@]3(C[C@@H]4C[C@]56CCO[C@H]5CCN5CC[C@@]2([C@H]65)[C@@]14O)CN1CC[C@]24c5ccccc5NC2=C(C[C@@]2(CCO[C@@H]32)[C@H]14)C(=O)OC,NPC208572
CC(C)C1C2C(C(C(=O)C(C2(OC3=C(C(=C4C(C5=C(C(C(=O)C(C5=O)(C)C)(C)C)OC4=C13)C(C)C)O)C(=O)C(C)C)O)(C)C)(C)C)O,NPC473509
CCCCC[C@@H]([C@@H](CCC[C@@H]([C@H]1CC[C@H]([C@H]2CC[C@H]([C@@H](CCCCCCCCCCCCC3=C[C@H](C)OC3=O)O)O2)O1)O)O)O,NPC219652
CC(=CCCC(=C)CC/C=C(\C)/CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](Oc2ccc3C(=O)C[C@H](c4ccc(c(c4)OC)OC)Oc3c2)O1)O)O)O)C,NPC233628
CCCCCCCCC/C=C/C=C/[C@@]12O[C@H]3[C@@](O1)(C[C@@H]([C@]1(O2)[C@H]3[C@@H]2O[C@@]2([C@H]([C@]2([C@H]1C=C(C2=O)C)O)O)CO)C)C(=C)C,NPC474508
C/C=C(/C)\C(=O)O[C@@H]1[C@H](C)[C@]2(CO2)[C@H](c2cc(c(c(c2-c2c1cc(c(c2OC)OC)O)O)OC)OC)OC(=O)c1ccccc1,NPC18850
COc1cc2CCN([C@H]3c2c(c1O)Oc1cc2c(cc1OC)CCN([C@H]2Cc1ccc(Oc2cc(C3)ccc2OC)cc1)C)C,NPC290582
Cc1cc2c(cc1O)c1cc3c(c(C)c1cc2OC)O[C@@]1(c2c4cc(c(C)cc4c(cc2[C@](C)([C@]1(C(=O)OC)O)O)OC)O)O3,NPC88739
CCCCCCCCCCCCCC=CC(C(COP(=O)([O-])OCC[N+](C)(C)C)NC(=O)CC(CCCCCC=CCCCC)O)O,NPC329098
CC(C)[C@@H]1[C@@H](C)CC[C@@]([C@@H](C)[C@@H]([C@H](C)[C@@H]2[C@H](/C=C/C=C(\C)/C[C@H](C)[C@@H]([C@H](C)/C=C(\C)/C=C(/C(=O)O2)\OC)O)OC)O)(O)O1,NPC485784
COc1ccc(cc1)[C@@]1(Oc2cc3OCOc3c(c2C(=O)[C@@H]([C@H]1c1ccccc1)C(=O)N1CCC[C@@H]1N=C(C=C(C)C)O)OC)C(=O)OC,NPC5674
COc1cc(ccc1O)C[C@H]([C@@H](Cc1ccc(c(c1)OC)O)COC(=O)/C=C/c1ccc(c(c1)OC)O)COC(=O)/C=C/c1ccc(c(c1)OC)O,NPC110699
CC[C@@H](CC(=O)O[C@H]1C[C@@H]2[C@@]3(C)CCC[C@](C)([C@H](C)OC(=O)C)[C@@H]3CC[C@@]2(C)[C@@H]2CCC3=C(C(=O)O[C@H]3C)[C@@]12C)O,NPC272175
CC(=O)OC1C=C(C(C2(C1C(CCC2)(C)C)C)(C=O)O)C3OC4C5(O3)C(=CC(C6C5(CCCC6(C)C)C)OC(=O)C)C(O4)OC,NPC473250
OC[C@]12O[C@H]1[C@H]1[C@H]3O[C@@]45O[C@]1([C@H]1[C@@]([C@@H]2O)(O)C(=O)[C@H]([C@@H]1C(C)(O)CCCCCCCCCCC/C=C/5)C)[C@@H](C[C@]3(O4)C(=C)C)C,NPC476091
COc1ccc(cc1)c1cc(=O)c2c(cc(c(c2O)Oc2ccc(cc2)c2cc(=O)c3c(cc(cc3o2)O)O)O)o1,NPC271584
COC[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)O[C@H](CC)CCC[C@@H](O)[C@H](C(=O)O[C@@H]([C@H](C/C=C(/C(=C\C(=O)N([C@H](C(=O)N([C@H](C(=O)N1C)C(C)C)C)[C@H](CC)C)C)/OC)\C)C)C)C,NPC120335
CN1CCc2cc(c(cc2[C@H]1Cc1ccc(cc1)Oc1cc(ccc1OC)C[C@H]1c2cc(c(cc2CCN1C)OC)O)O)OC,NPC190031
CC[C@H]1C[C@@H]2C[C@]3(c4c(CCN(C2)[C@@H]13)c1cc([C@H]2C[C@H]3/C(=C\C)/CN(C)[C@@H](Cc5c6ccccc6[nH]c25)[C@@H]3C(=O)OC)c(cc1[nH]4)OC)C(=O)OC,NPC28112
C=CC(C)(C)[C@]12C=C(C(=O)N3/C(=C/c4cn(cn4)[C@H]4C[C@@]5([C@@]6(C)C[C@H]([C@@H]7[C@H]8C(C)(C)CC[C@@]8(C)C[C@]67[C@@H]4C)O5)O)/C(=N[C@@]23N(c2ccccc12)OC)O)O,NPC484441
O=C1O[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=N[C@H](c2nc(C(=NC(C1C)C)O)cs2)C)O,NPC329961
COC1=CC=CC2=C1N3CC4(CC5C3(C26CCN7C6C8(C5)CCCC8CC7)O)CN9CCC12C9C3(C4OCC3)CC(=C1NC1=CC=CC=C21)C(=O)OC,NPC469450
C[NH+]1CCc2cc(c(cc2[C@@H]1Cc1cc(c(cc1Oc1cc2C[C@@H]3c4c(CC[NH+]3C)cc(c(c4-c2cc1OC)OC)OC)OC)OC)OC)OC,NPC72329
CC1=CCC[C@H]2[C@@]1(C)[C@H]([C@@H]([C@@](C)([C@]2(C)[C@H](CC1=C(C(=O)OC1)O)OC(=O)C)O)OC(=O)c1ccccc1)OC(=O)c1ccccc1,NPC330029
C#CCCC[C@H]1[C@H](C)C(=O)O[C@@H](C)C(=O)N(C)[C@@H](C(C)C)C(=N[C@@H](C(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)N(C)[C@H](Cc2ccccc2)C(=N[C@@H](C(C)C)C(=N1)O)O)O,NPC139326
COc1ccc(cc1)c1cc(=O)c2c(cc(c(c3cc(ccc3OC)c3cc(=O)c4c(cc(cc4o3)O)O)c2O)O)o1,NPC76980
Cc1cc2c(cc1OC)c1c(cc2O)C(C)(C)C(=O)[C@]2([C@@H]1Oc1cc3c(cc(c4cc(C)c(cc34)OC)OC)c(C)c1O2)OC,NPC265563
CN1CCc2cc3c4cc2[C@H]1Cc1ccc(c(c1)Oc1ccc(cc1)C[C@H]1c2c(CCN1)cc(c(c2O4)O3)OC)OC,NPC263608
CCCCCCCCCC[C@H]([C@H]1CC[C@@H](O1)[C@H]1CC[C@@H](O1)[C@@H](CCCC[C@@H](CCCCC[C@H](CC1=C[C@@H](OC1=O)C)O)O)O)O,NPC93794
CC[C@@]12C[C@H]3C[C@]4(CN5CC[C@]67c8ccccc8NC6=C(C[C@@]6(CCO[C@@H]46)[C@H]57)C(=O)OC)CN4c5ccccc5[C@@]5(CCN(C[C@@H]6[C@H]1O6)[C@@H]25)[C@]34O,NPC208310
C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@@](C)(C=O)[C@@H]2[C@H]([C@@H]3[C@](C)([C@H](CC=O)[C@@]12C)C1=C(C)C[C@H](c2ccoc2)[C@H]1O3)OC(=O)C)O,NPC41426
CCCCCCCCCCCCCC[C@@H]([C@@H]1CC[C@@H](O1)[C@@H](CC[C@@H](CCCCC[C@H](CC1=C[C@@H](OC1=O)C)O)O)O)O,NPC232555
CC[C@H](C)/C=C/C=C/C(=O)O[C@H]1CC[C@]2(C)[C@@H]3C[C@H](C(=C)[C@@H](Cc4c(c(C)c(C)oc4=O)O)[C@@]3(C)CC[C@H]2OC1(C)C)O,NPC480258
CC(=CCC[C@]1(C)C=Cc2c(c3C(=O)C4=C[C@H]5CC6C(C)(C)O[C@](C/C=C(/C)\C(=O)O)(C5=O)[C@]46Oc3c(CC=C(C)C)c2O1)O)C,NPC40471
CC(=CC[C@]12C[C@@H](C[C@H](C(=C)C)CCC(=C)C)C([C@@](C2=O)(C2=C(C1=O)C[C@H](O2)C(O)(C)C)C(=O)c1ccc(c(c1)O)O)(C)C)C,NPC132810
CCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2([C@@H]3C=C(C)C(=O)[C@]3(C=C(CO)C(=O)[C@H]2[C@@H]2C(C)(C)[C@]12OC(=O)C)O)O,NPC19464
C[C@@H]1C[C@@H]([C@@H]([C@@]2(C)[C@H]([C@@H]([C@@H]3[C@H]([C@]12OC3(C)C)O)OC(=O)c1ccccc1)OC(=O)c1ccccc1)OC(=O)C)OC(=O)c1ccccc1,NPC290773
COc1cc(ccc1O)/C=C/C(=O)OC[C@@H]1[C@@H](c2ccc(c(c2)OC)O)Oc2c(cc3ccc(=O)oc3c2O1)OC,NPC120774
